Iterations,Epoches,Train Fusion Loss,Train Target Loss,Test 1 Fusion Loss,Test 1 Target Loss,Test 2 Fusion Loss,Test 2 Target Loss
300,0,5.559943199,0.430362344,3.493743181,0.251417249,2.836292982,0.088429928
600,1,4.443977833,0.299660385,3.345801353,0.247194231,2.66255784,0.100232676
900,2,4.082939148,0.273068726,3.417612314,0.263049513,2.718177795,0.107789904
1200,3,3.810507536,0.246987671,3.18734026,0.232740089,2.595543861,0.101802483
1500,4,3.584643126,0.224481687,3.050201893,0.216206461,2.520424843,0.098271139
1800,5,3.432841778,0.209853828,3.012768745,0.219979987,2.436213255,0.092587076
2100,6,3.294779778,0.197107628,2.920053482,0.213073865,2.354939938,0.089873932
2400,7,3.175569057,0.185498476,2.827948332,0.20393987,2.286284685,0.086196586
2700,8,3.08736825,0.178209022,2.746863127,0.194975644,2.258415937,0.086691201
3000,9,3.003658056,0.170360297,2.691547394,0.188693061,2.209154129,0.084283471
3300,10,2.937130451,0.164669842,2.612726927,0.180768803,2.177507639,0.085224651
3600,11,2.881463051,0.159516007,2.579905748,0.179104075,2.161342144,0.085727997
3900,12,2.82763052,0.154460654,2.524598598,0.17358686,2.121735573,0.08379139
4200,13,2.776579857,0.150298536,2.470335007,0.167418346,2.087344885,0.082460269
4500,14,2.730015755,0.146387413,2.437582254,0.163208395,2.059343576,0.081053071
4800,15,2.691141605,0.143681958,2.422320843,0.164023504,2.050974131,0.083701558
5100,16,2.661888123,0.141415074,2.392786741,0.161261067,2.032116413,0.083194703
5400,17,2.630518198,0.139147177,2.364613533,0.158981547,2.004348516,0.081596561
5700,18,2.598445415,0.136494324,2.329158068,0.155447319,1.980428934,0.080344558
6000,19,2.568845272,0.134185746,2.300237417,0.152910203,1.958317876,0.079189487
6300,20,2.013600826,0.091650046,1.735100985,0.097792245,1.563443899,0.061282434
6600,21,2.121303797,0.107375465,1.706351876,0.094648257,1.582968593,0.062358432
6900,22,2.09320569,0.10239654,1.638906717,0.08827094,1.545115471,0.059428114
7200,23,2.077296019,0.100712568,1.615012646,0.083932944,1.52798152,0.056792933
